Name,State/Territory,Category,Type,Created,Updated
Xcel Energy - Residential Energy Efficiency Rebate Programs,ND,Financial Incentive,Rebate Program,2006-06-12,2023-06-20
Sales and Use Tax Exemption for Electrical Generating Facilities,ND,Financial Incentive,Sales Tax Incentive,2011-09-01,2023-12-04
Sales Tax Exemption for Hydrogen Generation Facilities,ND,Financial Incentive,Sales Tax Incentive,2011-09-01,2023-12-04
Sales and Use Tax Exemption for Gas Processing Facilities,ND,Financial Incentive,Sales Tax Incentive,2011-09-01,2023-12-04
Residential Energy Efficiency Rebates (Offered by 5 Utilities),ND,Financial Incentive,Rebate Program,2012-02-03,2023-11-08
Business Energy Efficiency Rebates (Offered by 5 Utilities),ND,Financial Incentive,Rebate Program,2012-02-03,2023-06-05
Commercial Energy Efficiency Rebates (Offered by 5 Utilities),ND,Financial Incentive,Rebate Program,2023-11-14,2023-11-14
Interconnection Standards,ND,Regulatory Policy,Interconnection,2024-06-10,2024-06-10
North Dakota - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,ND,Financial Incentive,Grant Program,2024-06-18,2024-06-25
Dollar and Energy Savings Loans,NE,Financial Incentive,Loan Program,2000-01-01,2024-10-11
Nebraska Solar and Wind Easements,NE,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-11-05
Building Energy Code,NE,Regulatory Policy,Building Energy Code,2006-08-02,2023-04-28
Omaha Public Power District - Commercial Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,2006-08-21,2024-05-06
Sales and Use Tax Exemption for Community Renewable Energy Projects,NE,Financial Incentive,Sales Tax Incentive,2007-05-31,2023-03-20
Nebraska Public Power District - Residential Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,2009-03-31,2023-07-21
Nebraska Public Power District - Commercial Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,2009-04-01,2023-06-09
Lincoln Electric System - Sustainable Energy Program,NE,Financial Incentive,Rebate Program,2009-04-06,2023-06-23
Net Metering,NE,Regulatory Policy,Net Metering,2009-05-19,2024-08-14
Interconnection Guidelines,NE,Regulatory Policy,Interconnection,2009-05-19,2024-06-10
Southern Power District - Residential Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,2009-08-20,2023-06-16
MidAmerican Energy (Gas) - Residential Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,2010-06-03,2024-05-06
Property Tax Exemption for Renewable Energy Generation Facilities,NE,Financial Incentive,Property Tax Incentive,2011-08-03,2024-11-12
Sales and Use Tax Exemption for Renewable Energy Property,NE,Financial Incentive,Sales Tax Incentive,2013-07-12,2023-12-05
Local Option - Property-Assessed Clean Energy Financing,NE,Financial Incentive,PACE Financing,2016-04-01,2023-12-27
Omaha City - Wind Energy Conservation System Requirements,NE,Regulatory Policy,Solar/Wind Permitting Standards,2016-11-15,2023-08-16
Southern Power District - Commercial Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,2018-08-02,2023-06-16
Southern Public Power District - Electric Vehicle Incentives,NE,Financial Incentive,Rebate Program,2021-08-20,2023-07-03
Nebraska Public Power District - Go EV,NE,Financial Incentive,Rebate Program,2022-06-21,2022-06-22
Local Option - Property Tax Exemption for Renewable Energy and Electrical Energy Storage,NH,Financial Incentive,Property Tax Incentive,2000-01-01,2024-06-07
Net Metering,NH,Regulatory Policy,Net Metering,2000-01-01,2024-01-05
Fuel Mix and Environmental Characteristics Disclosure,NH,Regulatory Policy,Generation Disclosure,2000-01-01,2023-08-09
Interconnection Standards,NH,Regulatory Policy,Interconnection,2002-08-14,2024-01-14
Unitil (Electric) - Residential Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,2006-04-18,2023-04-13
Unitil (Electric) - Commercial and Industrial Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,2006-04-18,2024-09-06
Liberty Utilities (Electric) - Residential Energy Efficiency Rebate Programs,NH,Financial Incentive,Rebate Program,2006-04-19,2024-07-08
Liberty Utilities (Electric) - Commercial Energy Efficiency Rebate Programs,NH,Financial Incentive,Rebate Program,2006-04-19,2024-09-05
Liberty Utilities (Gas) - Commercial Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,2006-04-20,2023-04-13
Building Energy Code,NH,Regulatory Policy,Building Energy Code,2006-07-27,2023-05-23
Building Requirements for State-Funded Buildings,NH,Regulatory Policy,Energy Standards for Public Buildings,2006-07-30,2024-07-05
New Hampshire Electric Co-op - Residential Energy Efficiency Rebate Programs,NH,Financial Incentive,Rebate Program,2006-09-14,2023-04-14
New Hampshire Electric Co-op - SmartSTART Energy Efficiency Loan Program,NH,Financial Incentive,Loan Program,2006-09-14,2023-07-19
New Hampshire Electric Co-op - Income-Qualified Home Energy Assistance Program,NH,Financial Incentive,Grant Program,2006-09-14,2023-07-19
New Hampshire Electric Co-op - Commercial and Municipal Retrofit Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,2006-09-15,2023-07-26
New Hampshire Electric Co-op - Commercial and Municipal New Equipment and Construction Program,NH,Financial Incentive,Rebate Program,2006-09-15,2023-07-26
System Benefits Charge,NH,Regulatory Policy,Public Benefits Fund,2006-09-25,2024-01-18
Eversource - Residential Energy Efficiency Rebate Program,NH,Financial Incentive,Rebate Program,2007-01-16,2024-05-14
Renewable Portfolio Standard,NH,Regulatory Policy,Renewables Portfolio Standard,2007-05-14,2024-03-05
Business Energy Efficiency Loan Program,NH,Financial Incentive,Loan Program,2009-11-18,2024-05-22
Residential Bulk-Fed Wood-Pellet Central Boilers and Furnace Rebate Program,NH,Financial Incentive,Rebate Program,2010-07-13,2024-02-26
Local Option - Energy Efficiency & Clean Energy Districts,NH,Financial Incentive,PACE Financing,2010-07-15,2024-01-16
Commercial & Industrial Solar Rebate Program,NH,Financial Incentive,Rebate Program,2010-11-22,2024-02-26
Eversource - Commercial New Construction Energy Efficiency Rebate Program,NH,Financial Incentive,Rebate Program,2007-01-04,2024-09-04
Standards for Municipal Small Wind Regulations and Model Ordinance,NH,Regulatory Policy,Solar/Wind Permitting Standards,2010-01-01,2023-05-26
New Hampshire - Solar Access Laws,NH,Regulatory Policy,Solar/Wind Access Policy,2011-03-04,2023-05-26
Unitil (Gas) - Commercial and Industrial Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,2007-12-27,2023-04-13
Unitil (Gas) - Residential Energy Efficiency Program,NH,Financial Incentive,Rebate Program,2006-04-18,2024-05-14
Commercial & Industrial Renewable Energy Grants,NH,Financial Incentive,Grant Program,2012-02-08,2024-06-07
New Hampshire Electric Co-op - Residential Energy Efficiency Loan,NH,Financial Incentive,Loan Program,2015-07-14,2023-07-19
Liberty Utilities (Electric) - Commercial Energy Efficiency Loan Program,NH,Financial Incentive,Loan Program,2015-10-13,2023-04-13
Energy Efficiency Resource Standard,NH,Regulatory Policy,Energy Efficiency Resource Standard,2016-10-06,2024-11-01
Liberty Utilities (Gas) - Residential Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,2019-05-14,2023-04-14
New Hampshire Electric Cooperative - Electric Vehicle Rebates,NH,Financial Incentive,Rebate Program,2021-08-20,2023-05-24
New Hampshire Community Solar Rules,NH,Regulatory Policy,Community Solar Rules,2022-06-22,2024-01-05
Low-Moderate Income Solar Renewable Energy Grant,NH,Financial Incentive,Grant Program,2023-02-22,2024-06-07
Commercial & Industrial Bulk Fuel-Fed Wood Pellet Central Heating Systems Rebate Program,NH,Financial Incentive,Rebate Program,2023-02-28,2024-02-26
Clean Energy Fund,NH,Financial Incentive,Loan Program,2023-03-07,2024-05-22
New Hampshire State Clean Diesel Program,NH,Financial Incentive,Grant Program,2023-05-25,2024-06-06
Granite State Clean Fleets (GSCF),NH,Financial Incentive,Grant Program,2023-07-13,2024-06-06
Eversource - Home Battery Storage Rebate,NH,Financial Incentive,Rebate Program,2023-12-12,2023-12-12
Eversource - New Hampshire Residential Clean Energy Loan,NH,Financial Incentive,Loan Program,2023-12-12,2023-12-12
New Hampshire - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,NH,Financial Incentive,Grant Program,2024-06-12,2024-06-12
Net Metering,NJ,Regulatory Policy,Net Metering,2000-01-01,2022-06-22
Societal Benefits Charge,NJ,Regulatory Policy,Public Benefits Fund,2000-01-01,2021-07-26
Solar Energy Sales Tax Exemption,NJ,Financial Incentive,Sales Tax Incentive,2000-01-01,2021-03-10
Renewables Portfolio Standard,NJ,Regulatory Policy,Renewables Portfolio Standard,2001-05-07,2023-11-08
Environmental Information Disclosure,NJ,Regulatory Policy,Generation Disclosure,2001-05-07,2023-08-10
Interconnection Standards,NJ,Regulatory Policy,Interconnection,2003-06-18,2024-05-22
South Jersey Gas - Residential Loan Program,NJ,Financial Incentive,Loan Program,2006-05-07,2023-08-11
New Jersey Appliance and Equipment Energy Efficiency Standards,NJ,Regulatory Policy,Appliance/Equipment Efficiency Standards,2006-06-02,2024-10-28
Building Energy Code,NJ,Regulatory Policy,Building Energy Code,2006-07-26,2023-05-23
High Performance Schools Policy,NJ,Regulatory Policy,Energy Standards for Public Buildings,2006-08-01,2024-06-25
New Jersey SmartStart Buildings - New Construction and Retrofits,NJ,Financial Incentive,Rebate Program,2006-12-01,2023-06-09
South Jersey Gas - Residential Energy Efficiency Rebate Program,NJ,Financial Incentive,Rebate Program,2007-06-25,2023-08-11
New Jersey Solar Easement and Access Laws,NJ,Regulatory Policy,Solar/Wind Access Policy,2007-09-20,2023-11-03
New Jersey Comfort Partners Program,NJ,Financial Incentive,Rebate Program,2008-03-17,2023-03-24
High Performance Building Standards in New State Construction,NJ,Regulatory Policy,Energy Standards for Public Buildings,2008-07-18,2024-06-13
Property Tax Exemption for Renewable Energy Systems,NJ,Financial Incentive,Property Tax Incentive,2008-10-24,2021-03-10
Edison Innovation Clean Energy Manufacturing Fund - Grants and Loans,NJ,Financial Incentive,Industry Recruitment/Support,2009-02-11,2021-07-16
Pay for Performance Program,NJ,Financial Incentive,Rebate Program,2009-04-06,2023-06-09
New Jersey Natural Gas - SAVEGREEN Residential Rebate Program,NJ,Financial Incentive,Rebate Program,2009-11-11,2024-10-01
PSE&G - Residential Efficiency Program,NJ,Financial Incentive,Rebate Program,2010-01-15,2023-06-09
Solar and Wind Permitting Laws,NJ,Regulatory Policy,Solar/Wind Permitting Standards,2010-01-22,2024-05-24
Solar Energy Option Requirement for Residential Developments,NJ,Regulatory Policy,Building Energy Code,2009-04-01,2020-06-17
Assessment of Farmland Hosting Renewable Energy Systems,NJ,Financial Incentive,Property Tax Incentive,2010-03-16,2020-07-13
Wind Manufacturing Tax Credit,NJ,Financial Incentive,Industry Recruitment/Support,2010-09-27,2023-03-29
Edison Innovation Green Growth Fund Loans,NJ,Financial Incentive,Industry Recruitment/Support,2011-05-25,2021-07-18
PSE&G - Government and Non-Profit Facility Direct Install Efficiency Program,NJ,Financial Incentive,Grant Program,2010-01-15,2023-08-11
Local Option - Property Assessed Clean Energy Financing,NJ,Financial Incentive,PACE Financing,2012-02-15,2023-12-21
Small Scale CHP and Fuel Cell Incentive Program,NJ,Financial Incentive,Grant Program,2012-06-14,2022-11-18
Local Energy Audit Program,NJ,Financial Incentive,Rebate Program,2014-10-14,2023-06-09
Large Energy Users Program,NJ,Financial Incentive,Rebate Program,2014-10-14,2023-06-09
Solar Renewable Energy Certificates (SRECs) Registration Program,NJ,Financial Incentive,Solar Renewable Energy Credit Program,2015-02-20,2019-01-06
New Jersey Natural Gas- SAVEGREEN Commercial On-Bill Financing Program,NJ,Financial Incentive,Loan Program,2015-04-06,2023-08-11
NJ Clean Energy- Residential New Construction Program,NJ,Financial Incentive,Rebate Program,2015-07-24,2022-07-18
Energy Efficiency Resource Standard,NJ,Regulatory Policy,Energy Efficiency Resource Standard,2018-06-07,2024-10-25
Renewable Electric Storage Program,NJ,Financial Incentive,Rebate Program,2019-06-19,2023-06-09
Energy Storage Procurement Target,NJ,Regulatory Policy,Energy Storage Target,2020-02-26,2023-11-09
It Pay$ to Plug in Program,NJ,Financial Incentive,Grant Program,2021-06-10,2021-12-31
Clean Fleet EV Incentive Program,NJ,Financial Incentive,Grant Program,2021-06-10,2023-06-01
Charge Up New Jersey Program,NJ,Financial Incentive,Rebate Program,2021-06-10,2023-06-01
Electric Vehicle Tax Exemption,NJ,Financial Incentive,Personal Tax Exemption,2021-06-10,2021-12-31
Green Pass Discount,NJ,Financial Incentive,Other Incentive,2021-06-10,2021-08-12
New Jersey Zero Emission Incentive Program,NJ,Financial Incentive,Rebate Program,2021-06-10,2023-06-09
Successor Solar Incentive (SuSI) Program - Administratively Determined Incentive,NJ,Financial Incentive,Performance-Based Incentive,2021-10-01,2023-12-15
Community Solar Energy Pilot Program,NJ,Regulatory Policy,Community Solar Rules,2022-06-03,2023-02-23
New Jersey Community Solar Rules - Remote Net Metering,NJ,Regulatory Policy,Community Solar Rules,2022-06-22,2022-06-28
Successor Solar Incentive (SuSI) Program - Competitive Solar Incentive,NJ,Financial Incentive,Performance-Based Incentive,2022-12-13,2022-12-13
EV Tourism Program,NJ,Financial Incentive,Grant Program,2023-06-01,2023-06-01
PSE&G Electric Vehicle Charging Program,NJ,Financial Incentive,Rebate Program,2023-06-02,2023-06-02
JCP&L - EV Driven Program,NJ,Financial Incentive,Rebate Program,2023-06-23,2023-06-23
C-PACE: Garden State Commercial Property Assessed Clean Energy,NJ,Financial Incentive,PACE Financing,2023-12-21,2023-12-21
Offshore Wind Energy Goal,NJ,Regulatory Policy,Offshore Wind Energy Target,2024-05-17,2024-05-29
System Benefits Charge,NM,Regulatory Policy,Public Benefits Fund,2021-07-26,2021-07-26
Net Metering,NM,Regulatory Policy,Net Metering,2000-01-01,2024-08-14
New Mexico Solar Easements & Rights Laws,NM,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-10-23
Biomass Equipment & Materials Compensating Tax Deduction,NM,Financial Incentive,Sales Tax Incentive,2005-04-29,2023-12-05
Clean Energy Revenue Bond Program,NM,Financial Incentive,Bond Program,2005-04-29,2017-05-25
Renewable Portfolio Standard,NM,Regulatory Policy,Renewables Portfolio Standard,2002-12-19,2023-12-06
Mandatory Utility Green Power Option,NM,Regulatory Policy,Mandatory Utility Green Power Option,2003-01-16,2021-08-30
Efficient Use of Energy Act,NM,Regulatory Policy,Public Benefits Fund,2006-04-24,2021-07-28
Building Energy Code,NM,Regulatory Policy,Building Energy Code,2006-07-31,2023-06-18
Solar Energy Gross Receipts Tax Deduction,NM,Financial Incentive,Sales Tax Incentive,2007-05-25,2023-12-05
Alternative Energy Product Manufacturers Tax Credit,NM,Financial Incentive,Industry Recruitment/Support,2007-05-25,2021-07-18
Central New Mexico Electric Cooperative - Residential Energy Efficiency Rebate Program,NM,Financial Incentive,Rebate Program,2007-06-06,2023-04-14
PNM - Residential Energy Efficiency Rebate Program,NM,Financial Incentive,Rebate Program,2008-07-03,2023-06-21
Interconnection Standards,NM,Regulatory Policy,Interconnection,2008-08-15,2024-06-06
Farmington Electric Utility System - Net Metering,NM,Regulatory Policy,Net Metering,2008-08-22,2023-02-17
Local Option - Renewable Energy Financing District/Solar Energy Improvement Special Assessments,NM,Financial Incentive,PACE Financing,2009-07-15,2024-01-16
PNM - Commercial Energy Efficiency Rebate Program,NM,Financial Incentive,Rebate Program,2009-08-11,2023-04-14
El Paso Electric Company - Commercial Efficiency Program,NM,Financial Incentive,Rebate Program,2009-12-15,2024-08-20
El Paso Electric Company - Residential Efficiency Program,NM,Financial Incentive,Rebate Program,2009-12-15,2023-04-19
